,generation,auc,final_y,run,problem
1569,69,0.3610151474925202,0.000328082958768638,1,ellipsometry
1570,70,0.3610151474925202,0.000328082958768638,1,ellipsometry
1571,71,0.3610151474925202,0.000328082958768638,1,ellipsometry
1572,72,0.3610151474925202,0.000328082958768638,1,ellipsometry
1573,73,0.3610151474925202,0.000328082958768638,1,ellipsometry
1574,74,0.3610151474925202,0.000328082958768638,1,ellipsometry
1575,75,0.3610151474925202,0.000328082958768638,1,ellipsometry
1576,76,0.3610151474925202,0.000328082958768638,1,ellipsometry
1577,77,0.3610151474925202,0.000328082958768638,1,ellipsometry
1578,78,0.3610151474925202,0.000328082958768638,1,ellipsometry
1579,79,0.3610151474925202,0.000328082958768638,1,ellipsometry
1580,80,0.3610151474925202,0.000328082958768638,1,ellipsometry
1581,81,0.3610151474925202,0.000328082958768638,1,ellipsometry
1582,82,0.3610151474925202,0.000328082958768638,1,ellipsometry
1583,83,0.3610151474925202,0.000328082958768638,1,ellipsometry
1584,84,0.3610151474925202,0.000328082958768638,1,ellipsometry
1585,85,0.3610151474925202,0.000328082958768638,1,ellipsometry
1586,86,0.3610151474925202,0.000328082958768638,1,ellipsometry
1587,87,0.3610151474925202,0.000328082958768638,1,ellipsometry
1588,88,0.3610151474925202,0.000328082958768638,1,ellipsometry
1589,89,0.3610151474925202,0.000328082958768638,1,ellipsometry
1590,90,0.3610151474925202,0.000328082958768638,1,ellipsometry
1591,91,0.3610151474925202,0.000328082958768638,1,ellipsometry
1592,92,0.3610151474925202,0.000328082958768638,1,ellipsometry
1593,93,0.3610151474925202,0.000328082958768638,1,ellipsometry
1594,94,0.3610151474925202,0.000328082958768638,1,ellipsometry
1595,95,0.3610151474925202,0.000328082958768638,1,ellipsometry
1596,96,0.3610151474925202,0.000328082958768638,1,ellipsometry
1597,97,0.3610151474925202,0.000328082958768638,1,ellipsometry
1598,98,0.3610151474925202,0.000328082958768638,1,ellipsometry
1599,99,0.3610151474925202,0.000328082958768638,1,ellipsometry
1600,0,0.10609983503555147,3.231910218860023,2,ellipsometry
1601,1,0.10609983503555147,3.231910218860023,2,ellipsometry
1602,2,0.11323936580554528,1.5894714492159725,2,ellipsometry
1603,3,0.11323936580554528,1.5894714492159725,2,ellipsometry
1604,4,0.11323936580554528,1.5894714492159725,2,ellipsometry
1605,5,0.12438413411535083,1.5451832010430513,2,ellipsometry
1606,6,0.12438413411535083,1.5451832010430513,2,ellipsometry
1607,7,0.13109442671428806,0.6918397602952702,2,ellipsometry
1608,8,0.13464631461366094,0.6918397602952702,2,ellipsometry
1609,9,0.13464631461366094,0.6918397602952702,2,ellipsometry
1610,10,0.13464631461366094,0.6918397602952702,2,ellipsometry
1611,11,0.13464631461366094,0.6918397602952702,2,ellipsometry
1612,12,0.15064700659611371,0.6918397602952702,2,ellipsometry
1613,13,0.15064700659611371,0.6918397602952702,2,ellipsometry
1614,14,0.15064700659611371,0.6918397602952702,2,ellipsometry
1615,15,0.15064700659611371,0.6918397602952702,2,ellipsometry
1616,16,0.15064700659611371,0.6918397602952702,2,ellipsometry
1617,17,0.15064700659611371,0.6918397602952702,2,ellipsometry
1618,18,0.15064700659611371,0.6918397602952702,2,ellipsometry
1619,19,0.15064700659611371,0.6918397602952702,2,ellipsometry
1620,20,0.15064700659611371,0.6918397602952702,2,ellipsometry
1621,21,0.15064700659611371,0.6918397602952702,2,ellipsometry
1622,22,0.15064700659611371,0.6918397602952702,2,ellipsometry
1623,23,0.15064700659611371,0.6918397602952702,2,ellipsometry
1624,24,0.15064700659611371,0.6918397602952702,2,ellipsometry
1625,25,0.15064700659611371,0.6918397602952702,2,ellipsometry
1626,26,0.15365980425039386,0.6918397602952702,2,ellipsometry
1627,27,0.15365980425039386,0.6918397602952702,2,ellipsometry
1628,28,0.15365980425039386,0.6918397602952702,2,ellipsometry
1629,29,0.15365980425039386,0.6918397602952702,2,ellipsometry
1630,30,0.15365980425039386,0.6918397602952702,2,ellipsometry
1631,31,0.15365980425039386,0.6918397602952702,2,ellipsometry
1632,32,0.15365980425039386,0.6918397602952702,2,ellipsometry
1633,33,0.15365980425039386,0.6918397602952702,2,ellipsometry
1634,34,0.15365980425039386,0.6918397602952702,2,ellipsometry
1635,35,0.15365980425039386,0.6918397602952702,2,ellipsometry
1636,36,0.15365980425039386,0.6918397602952702,2,ellipsometry
1637,37,0.154251110000612,0.6918397602952702,2,ellipsometry
1638,38,0.154251110000612,0.6918397602952702,2,ellipsometry
1639,39,0.1968024093761631,0.3356468945649825,2,ellipsometry
1640,40,0.1968024093761631,0.3356468945649825,2,ellipsometry
1641,41,0.2308390745260699,0.11403848141361898,2,ellipsometry
1642,42,0.2308390745260699,0.11403848141361898,2,ellipsometry
1643,43,0.2308390745260699,0.11403848141361898,2,ellipsometry
1644,44,0.2308390745260699,0.11403848141361898,2,ellipsometry
1645,45,0.2308390745260699,0.11403848141361898,2,ellipsometry
1646,46,0.2308390745260699,0.11403848141361898,2,ellipsometry
1647,47,0.2308390745260699,0.11403848141361898,2,ellipsometry
1648,48,0.2308390745260699,0.11403848141361898,2,ellipsometry
